,name,gender,join-year,join-month,department,job,job-name,company
0,黄婷婷,女,2005,12,开发,平台开发,中级平台开发,雨林木风计算机信息有限公司
1,梁桂兰,女,2005,8,财务,会计,初级会计,数字100科技有限公司
2,刘秀云,男,2017,3,设计,插画,中级插画,惠派国际公司信息有限公司
3,王建军,女,2015,6,运维,服务器管理,特聘服务器管理,浙大万朋科技有限公司
4,刘璐,男,2013,3,管理,公司领导,特聘公司领导,时刻信息有限公司
5,程敏,男,2005,4,运营,新媒体运营,特聘新媒体运营,创亿传媒有限公司
6,吴淑英,女,2007,8,财务,出纳,中级出纳,图龙信息科技有限公司
7,李玉兰,女,2005,10,设计,原画,中级原画,恩悌信息有限公司
8,沈丽,女,2008,7,管理,公司领导,高级公司领导,晖来计算机信息有限公司
9,杨刚,男,2016,2,开发,平台开发,初级平台开发,万迅电脑网络有限公司
10,符鹏,男,2001,12,运维,数据库运维,高级数据库运维,快讯网络有限公司
11,吕宇,男,2007,8,开发,平台开发,特聘平台开发,华泰通安传媒有限公司
12,钱丽华,男,2011,10,开发,前端开发,高级前端开发,时空盒数字信息有限公司
13,彭玉兰,男,2005,4,管理,技术领导,初级技术领导,维旺明传媒有限公司
14,董金凤,男,2017,7,运维,数据库运维,初级数据库运维,创联世纪信息有限公司
15,魏平,男,2014,8,运维,服务器管理,特聘服务器管理,东方峻景科技有限公司
16,张桂英,男,2014,5,管理,技术领导,初级技术领导,新宇龙信息传媒有限公司
17,李敏,男,2006,4,管理,技术领导,中级技术领导,时空盒数字科技有限公司
18,何志强,男,2019,9,设计,原画,中级原画,彩虹网络有限公司
19,林秀芳,女,2011,10,管理,技术领导,中级技术领导,鑫博腾飞科技有限公司
20,杨娜,男,2010,4,开发,前端开发,初级前端开发,襄樊地球村网络有限公司
21,陈宁,男,2001,10,管理,公司领导,初级公司领导,新格林耐特科技有限公司
22,李凤英,男,2019,4,运营,新媒体运营,初级新媒体运营,浙大万朋科技有限公司
23,谭柳,男,2003,9,运维,数据库运维,初级数据库运维,联软信息有限公司
24,李红,男,2008,9,设计,插画,中级插画,中建创业科技有限公司
25,王桂芝,男,2017,9,管理,公司领导,高级公司领导,凌颖信息信息有限公司
26,鞠彬,男,2010,10,设计,原画,特聘原画,良诺科技有限公司
27,陈晨,女,2009,7,设计,插画,高级插画,雨林木风计算机网络有限公司
28,曹秀珍,女,2012,3,运营,传统运营,初级传统运营,良诺信息有限公司
29,王刚,男,2011,12,测试,黑盒测试,中级黑盒测试,黄石金承网络有限公司
30,张建平,男,2015,5,开发,后端开发,中级后端开发,新宇龙信息网络有限公司
31,张杨,女,2007,8,财务,会计,初级会计,MBP软件传媒有限公司
32,郭畅,女,2010,10,运维,服务器管理,特聘服务器管理,四通网络有限公司
33,江想,男,2001,9,管理,技术领导,高级技术领导,昂歌信息网络有限公司
34,穆兵,女,2008,11,运营,新媒体运营,高级新媒体运营,迪摩信息有限公司
35,倪丹,男,2010,5,测试,黑盒测试,高级黑盒测试,超艺网络有限公司
36,郭燕,女,2003,2,设计,原画,中级原画,快讯信息有限公司
37,蒋璐,女,2009,9,运营,传统运营,特聘传统运营,兰金电子科技有限公司
38,孙凯,女,2006,6,运维,数据库运维,高级数据库运维,华成育卓信息有限公司
39,张丹,女,2007,4,财务,会计,高级会计,时刻传媒有限公司
40,郝桂香,女,2018,3,运营,新媒体运营,初级新媒体运营,诺依曼软件信息有限公司
41,兰秀芳,男,2003,8,管理,技术领导,高级技术领导,四通网络有限公司
42,曾兰英,男,2009,7,管理,技术领导,初级技术领导,恒聪百汇传媒有限公司
43,廖成,男,2006,12,测试,白盒测试,特聘白盒测试,思优信息有限公司
44,傅桂兰,女,2013,4,运营,新媒体运营,高级新媒体运营,太极传媒有限公司
45,王桂兰,男,2016,11,设计,插画,中级插画,昊嘉科技有限公司
46,杨东,男,2018,4,运营,新媒体运营,特聘新媒体运营,维旺明网络有限公司
47,何军,男,2014,9,运维,数据库运维,中级数据库运维,凌云信息有限公司
48,金桂花,女,2003,10,开发,前端开发,高级前端开发,创联世纪传媒有限公司
49,程飞,女,2010,10,财务,会计,中级会计,兰金电子科技有限公司
50,张峰,女,2017,6,财务,会计,特聘会计,易动力网络有限公司
